"Título","Valor","Endereço","URL"
"iphone 11 ","2900.0","Goiânia, Setor Bueno","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1034723312"
"IPhone 11 ","2900.0","Goiânia","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1030507009"
"iPhone 11","2900.0","Goiânia, Setor Sul","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-1026513149"
"iPhone 11 128 GB","2900.0","Goiânia, Setor Bela Vista","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-128-gb-1031664989"
"IPHONE 11 64 GB","2900.0","Goiânia, Solange Parque I","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-64-gb-1034870081"
"IPhone 11 Branco 64gb","2900.0","Aparecida de Goiânia, Vila Brasília","https://go.olx.com.br/grande-goiania-e-anapolis/celulares/iphone-11-branco-64gb-1033124778"
